3423311935,71.24,28
3423313212,52.53,25
3423313724,64.54,27
3423311373,55.69,22
3423310999,54.58,25
3423313857,41.91,10
3423312432,58.64,20
3423311434,52.02,8
3423311328,31.25,34
3423312488,44.31,19
3423311254,49.35,40
3423312943,58.07,45
3423312536,44.22,22
3423311542,55.73,19
3423312176,46.63,43
3423314176,52.97,32
3423314202,46.25,35
3423311346,51.55,27
3423310666,57.05,26
3423313527,58.45,30
3423312182,43.42,23
3423313590,55.68,37
3423312268,55.15,18
3423314255,43.84,22
3423311976,59.26,32
3423312669,37.14,41
3423310697,64.3,29
3423312113,45.75,16
3423313343,45.97,23
3423311431,56.04,39
3423310755,33.64,45
3423311821,41.67,33
3423314359,50.68,39
3423313106,54.22,35
3423310754,56.2,29
3423310524,46.16,41
3423311780,50.22,24
3423312156,49.66,33
3423312916,38.61,37
3423310588,55.28,36
3423312995,57.87,41
3423313389,61.69,12
3423311369,37.41,21
3423311408,53.83,32
3423311598,62.98,22
3423312047,46.97,13
3423312322,58.03,24
3423313247,59.87,36
3423310944,81.34,31
3423312404,48.56,26
3423313738,17.66,23
3423311461,46.01,21
3423313866,45.34,26
3423312074,39.64,31
3423312444,51.22,36
3423311834,36.21,31
3423311527,47.32,55
3423310476,54.87,27
3423310548,58.97,6
3423311011,57.3,42
3423310633,59.94,32
3423310595,61.72,25
3423312757,53.19,23
3423313776,35.13,38
3423312067,48.47,20
3423312235,51.17,43
3423310893,42.14,39
3423314121,54.31,35
3423313750,48.93,32
3423312776,53.51,44
3423312927,51.72,24
3423310765,49.86,10
3423311457,49.2,41
3423310678,60.2,39
3423312564,54.06,20
3423313058,72.91,30
3423310803,61.92,40
3423312166,44.2,24
3423312608,60.75,39
3423310646,68.36,37
3423314440,56.39,20
3423312301,38.19,15
3423311400,66.19,27
3423313288,58.2,17
3423314357,47.55,22
3423311015,37.62,16
3423312270,17.81,26
3423313457,31.25,29
3423311768,61,41
3423314289,40.98,33
3423310618,53.69,24
3423311628,51.46,9
3423313173,64.57,29
3423310552,53.79,23
3423314153,64.28,34
3423313814,38.41,24
3423312466,58.89,42
3423314103,44.17,33
3423311257,50.41,43
3423311814,63.63,28
3423311017,45.78,24
3423311127,55.61,20
3423311066,67.23,5
3423313316,49.69,38
3423313648,54.6,30
3423313558,40.94,59
3423313353,43.84,36
3423312285,56.36,19
3423310853,69.53,23
3423313991,51.48,19
3423312791,52.93,41
3423311030,55.52,8
3423310575,52.14,23
3423311959,62.86,21
3423314029,37.53,33
3423313843,63.47,25
3423310628,62.11,33
3423311869,43.52,25
3423312133,47.97,27
3423314085,42.27,37
3423310504,56.05,30
3423311462,62.08,37
3423310974,35.25,53
3423311980,39.81,25
3423312931,60.27,33
3423313867,53.41,22
3423313838,56.28,27
3423312956,53.31,25
3423312985,55.24,30
3423311863,44.97,29
3423313131,40.3,43
3423313166,47.18,42
3423313841,46.4,34
3423312477,35.11,15
3423313132,54.33,38
3423311934,54.59,64
3423311470,61.67,50
3423314234,52.39,19
3423313633,52.37,6
3423312165,40.84,25
3423314381,27.42,27
3423312732,44.79,31
3423312525,59.84,37
3423313793,36,45
3423313029,47.64,10
3423313920,51.85,37
3423311655,59.73,15
3423311576,42.96,37
3423313408,51.84,27
3423313342,59.62,23
3423312729,58.82,30
3423311987,50.93,30
3423313012,41.35,23
3423310573,24.58,45
3423311451,57.74,22
3423313032,38.14,33
3423312160,51.82,20
3423312397,41.37,17
3423311095,55.01,24
3423312803,64.56,53
